instansi,tahun,bulan,capaian_pengadaan,capaian_kontrak,capaian_pelaksanaan,capaian_PHO
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,6,90.3,95,40,30
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,7,100,100,65,55
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,8,,,,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,9,,,,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,10,,,,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,11,,,,
"Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI)",2013,12,,,,
"Badan Nasional Pengelola Perbatasan",2012,1,,,,
"Badan Nasional Pengelola Perbatasan",2012,2,,,,
"Badan Nasional Pengelola Perbatasan",2012,3,,,,
"Badan Nasional Pengelola Perbatasan",2012,4,,,,
"Badan Nasional Pengelola Perbatasan",2012,5,,,,
"Badan Nasional Pengelola Perbatasan",2012,6,,,,
"Badan Nasional Pengelola Perbatasan",2012,7,,,,
"Badan Nasional Pengelola Perbatasan",2012,8,,,,
"Badan Nasional Pengelola Perbatasan",2012,9,,,,
"Badan Nasional Pengelola Perbatasan",2012,10,,,,
"Badan Nasional Pengelola Perbatasan",2012,11,,,,
"Badan Nasional Pengelola Perbatasan",2012,12,,,,
"Badan Nasional Pengelola Perbatasan",2013,1,,,,
"Badan Nasional Pengelola Perbatasan",2013,2,,,,
"Badan Nasional Pengelola Perbatasan",2013,3,,,,
"Badan Nasional Pengelola Perbatasan",2013,4,,,,
"Badan Nasional Pengelola Perbatasan",2013,5,,,,
"Badan Nasional Pengelola Perbatasan",2013,6,,,,
"Badan Nasional Pengelola Perbatasan",2013,7,,,,
"Badan Nasional Pengelola Perbatasan",2013,8,,,,
"Badan Nasional Pengelola Perbatasan",2013,9,,,,
"Badan Nasional Pengelola Perbatasan",2013,10,,,,
"Badan Nasional Pengelola Perbatasan",2013,11,,,,
"Badan Nasional Pengelola Perbatasan",2013,12,,,,
"Badan Pemeriksa Keuangan",2012,1,,,,
"Badan Pemeriksa Keuangan",2012,2,,,,
"Badan Pemeriksa Keuangan",2012,3,,,,
"Badan Pemeriksa Keuangan",2012,4,,,,
"Badan Pemeriksa Keuangan",2012,5,,,,
"Badan Pemeriksa Keuangan",2012,6,,,,
"Badan Pemeriksa Keuangan",2012,7,,,,
"Badan Pemeriksa Keuangan",2012,8,,,,
"Badan Pemeriksa Keuangan",2012,9,,,,
"Badan Pemeriksa Keuangan",2012,10,,,,
"Badan Pemeriksa Keuangan",2012,11,,,,
"Badan Pemeriksa Keuangan",2012,12,,,,
"Badan Pemeriksa Keuangan",2013,1,11,,,
"Badan Pemeriksa Keuangan",2013,2,18,,,
"Badan Pemeriksa Keuangan",2013,3,24,19,12,5
"Badan Pemeriksa Keuangan",2013,4,28,23,15,5
"Badan Pemeriksa Keuangan",2013,5,28,24,17,8
"Badan Pemeriksa Keuangan",2013,6,37,32,28,12
"Badan Pemeriksa Keuangan",2013,7,59,55,50,34
"Badan Pemeriksa Keuangan",2013,8,60,55,50,34
"Badan Pemeriksa Keuangan",2013,9,66,58,53,38
"Badan Pemeriksa Keuangan",2013,10,,,,
"Badan Pemeriksa Keuangan",2013,11,,,,
"Badan Pemeriksa Keuangan",2013,12,,,,
