tipe_entitas,nama_entitas,tahun,nilai
"Kontraktor","Nusantara Termal Coal, PT",2009,840085.29
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2009,
"Kontraktor","Perkasa Inakakerta, PT",2009,
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2009,
"Kontraktor","Riau Bara Harum, PT",2009,
"Kontraktor","Santan Batubara, PT",2009,581466
"Kontraktor","Senamas Energindo Mulia, PT",2009,21569.29
"Kontraktor","Singlurus Pratama, PT",2009,
"Kontraktor","Sumber Kurnia Buana, PT",2009,1250305.9
"Kontraktor","Tanito Harum, PT",2009,1240555.9
"Kontraktor","Tanjung Alam Jaya, PT",2009,1021576.4
"Kontraktor","Teguh Sinar Abadi, PT",2009,
"Kontraktor","Trubaindo Coal Mining, PT",2009,1500467
"Kontraktor","Wahana Baratama Mining, PT",2009,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2009,18882.11
"Kuasa Pertambangan Swasta","Prov. Jambi",2009,102516.93
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2009,346245.63
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2009,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2009,1515860.9
"Kuasa Pertambangan Swasta","Prov. Riau",2009,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2009,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2009,654199.28
"BUMN","Bukit Asam",2010,1559672
"BUMN","Bukit Asam - Ombilin",2010,36672
"BUMN","Bukit Asam - Tanjung Enim - Antrasit",2010,
"Kontraktor","Adaro Indonesia, PT",2010,1900546
"Kontraktor","Allied Indo Coal, PT",2010,
"Kontraktor","Antang Gunung Meratus, PT",2010,240349.62
"Kontraktor","Arutmin Indonesia, PT",2010,638586.86
"Kontraktor","Asmin Koalindo Tuhup, PT",2010,
"Kontraktor","Bahari Cakrawala Sebuku, PT",2010,
"Kontraktor","Bangun Banua Persada Kalimantan, PT",2010,
"Kontraktor","Baramarta, PD",2010,792677.91
"Kontraktor","Baramulti Suksessarana, PT",2010,
"Kontraktor","Batualam Selaras, PT",2010,
"Kontraktor","Berau Coal, PT",2010,968051
"Kontraktor","Borneo Indobara, PT",2010,48078.74
"Kontraktor","Firman Ketaun Perkasa, PT",2010,
"Kontraktor","Gunung Bayan Pratamacoal, PT",2010,710700.58
"Kontraktor","Indominco Mandiri, PT",2010,120923
"Kontraktor","Insani Bara Perkasa, PT",2010,165.35
"Kontraktor","Interex Sacra Raya, PT",2010,22993.81
"Kontraktor","Intitirta Primasakti, PT",2010,
"Kontraktor","Jorong Barutama Greston, PT",2010,141770.94
"Kontraktor","Kadya Caraka Mulia, PT",2010,9510.41
"Kontraktor","Kalimantan Energi Lestari, PT",2010,
"Kontraktor","Kaltim Prima Coal, PT",2010,854605
"Kontraktor","Kartika Selabumi Mining, PT",2010,
"Kontraktor","Kendilo Coal Indonesia, PT",2010,
"Kontraktor","Kideco Jaya Agung, PT",2010,929646
"Kontraktor","Lanna Harita Indonesia, PT",2010,
"Kontraktor","Mahakam Sumber Jaya, PT",2010,258608
"Kontraktor","Mandiri Intiperkasa, PT",2010,
"Kontraktor","Mantimin Coal Mining, PT",2010,
"Kontraktor","Marunda Graha Mineral, PT",2010,
"Kontraktor","Multi Harapan Utama, PT",2010,
"Kontraktor","Multi Tambangjaya Utama, PT",2010,
"Kontraktor","Nusantara Termal Coal, PT",2010,
"Kontraktor","Pendopo Energi Batubara (D/H Pt Barito Putra)",2010,50
"Kontraktor","Perkasa Inakakerta, PT",2010,
"Kontraktor","Pesona Khatulistiwa Nusantara (D/H Astra Binabakti Intisari)",2010,
"Kontraktor","Riau Bara Harum, PT",2010,
"Kontraktor","Santan Batubara, PT",2010,114486
"Kontraktor","Senamas Energindo Mulia, PT",2010,7999.46
"Kontraktor","Singlurus Pratama, PT",2010,
"Kontraktor","Sumber Kurnia Buana, PT",2010,260815.94
"Kontraktor","Tanito Harum, PT",2010,300875
"Kontraktor","Tanjung Alam Jaya, PT",2010,427423.98
"Kontraktor","Teguh Sinar Abadi, PT",2010,
"Kontraktor","Trubaindo Coal Mining, PT",2010,651309.34
"Kontraktor","Wahana Baratama Mining, PT",2010,
"Kuasa Pertambangan Swasta","Prov. Bengkulu",2010,
"Kuasa Pertambangan Swasta","Prov. Jambi",2010,10425.39
"Kuasa Pertambangan Swasta","Prov. Kalimantan Selatan",2010,110711.11
"Kuasa Pertambangan Swasta","Prov. Kalimantan Tengah",2010,
"Kuasa Pertambangan Swasta","Prov. Kalimantan Timur",2010,372187.99
"Kuasa Pertambangan Swasta","Prov. Riau",2010,
"Kuasa Pertambangan Swasta","Prov. Sumatera Barat",2010,
"Kuasa Pertambangan Swasta","Prov. Sumatera Selatan",2010,81496.63
