nama_perusahaan,komoditas,satuan,tahun,nilai
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2009,14191
"Aneka Tambang Tbk, PT","Gold","kg",2009,12893
"Aneka Tambang Tbk, PT","Silver","kg",2009,87188
"Aneka Tambang Tbk, PT","Bauxite","mt",2009,445662
"Aneka Tambang Tbk, PT","Iron sand","wmt",2009,
"Timah Tbk, PT","Tin metal","ton",2009,49436
"Freeport Indonesia, PT","Copper","ton",2009,527878
"Freeport Indonesia, PT","Gold","kg",2009,63758
"Freeport Indonesia, PT","Silver","kg",2009,154230
"Koba Tin, PT","Tin metal","ton",2009,6115
"International Nickel Ind, PT","Ni+Co in matte","ton",2009,67782
"Gunung Kikara Mining, PT","Tin metal","ton",2009,
"Karimun Granite, PT","Granite","ton",2009,
"Lusang Mining, PT","Gold","kg",2009,
"Lusang Mining, PT","Silver","kg",2009,
"Ampalit Mas Perdana, PT","Gold","kg",2009,
"Ampalit Mas Perdana, PT","Silver","kg",2009,
"Monterado Mas Mining, PT","Gold","kg",2009,
"Monterado Mas Mining, PT","Silver","kg",2009,
"Prima Lirang Mining, PT","Gold","kg",2009,
"Prima Lirang Mining, PT","Silver","kg",2009,
"Kelian Equatorial Mining, PT","Gold","kg",2009,
"Kelian Equatorial Mining, PT","Silver","kg",2009,
"Indo Muro Kencana, PT","Gold","kg",2009,1178
"Indo Muro Kencana, PT","Silver","kg",2009,6642
"Newmont Minahasa Raya, PT","Gold","kg",2009,
"Newmont Minahasa Raya, PT","Silver","kg",2009,
"Barisan Tropical Mining, PT","Gold","kg",2009,
"Barisan Tropical Mining, PT","Silver","kg",2009,
"Newmont Nusa Tenggara, PT","Copper","ton",2009,170312
"Newmont Nusa Tenggara, PT","Gold","kg",2009,12957
"Newmont Nusa Tenggara, PT","Silver","kg",2009,46028
"Nusa Halmahera Minerals, PT","Gold","kg",2009,9785
"Nusa Halmahera Minerals, PT","Silver","kg",2009,9009
"Avocet Bolaang Mongondouw, PT","Gold","kg",2009,1510
"Avocet Bolaang Mongondouw, PT","Silver","kg",2009,250
"Galuh Cempaka, PT","Diamond","crt",2009,
"Galuh Cempaka, PT","Gold","kg",2009,
"Aneka Tambang Tbk, PT","Nickel ore","wmt",2010,
"Aneka Tambang Tbk, PT","Ferro nickel","mt",2010,
"Aneka Tambang Tbk, PT","Ni In Fe Ni","ton",2010,
"Aneka Tambang Tbk, PT","Gold","kg",2010,
"Aneka Tambang Tbk, PT","Silver","kg",2010,
"Aneka Tambang Tbk, PT","Bauxite","mt",2010,
